rol;count;usu_usu;min;max;max_menos_min;minuto;cantidadporminuto;cantidad_9a10;cantidad_10a11;cantidad_11a12;cantidad_12a13;cantidad_13a14;cantidad_14a15;cantidad_15a16;cantidad_16a17;cantidad_17a18;cantidad_18a19
"ESCANER";"120";"INGDIGITADOR1";"2025-10-17 16:34:27.956236";"2025-10-17 17:23:17.021216";"00:48:49.06498";48.81774966666667;0.4068145805555556;"0";"0";"0";"0";"0";"0";"0";"25";"95";"0"
"ESCANER";"13";"DIGITADOR1";"2025-10-17 16:39:52.78911";"2025-10-17 16:51:13.498859";"00:11:20.709749";11.345162483333333;0.8727048064102564;"0";"0";"0";"0";"0";"0";"0";"13";"0";"0"
"ESCANER";"135";"INGDIGITADOR1";"2025-10-20 09:54:47.757351";"2025-10-20 10:55:41.72124";"01:00:53.963889";60.89939815;0.451106652962963;"2";"133";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"513";"DIGITADOR1";"2025-10-20 13:06:51.911319";"2025-10-20 16:14:17.182179";"03:07:25.27086";187.42118100000002;0.36534343274853803;"0";"0";"0";"0";"122";"227";"132";"32";"0";"0"
"ESCANER";"73";"DIGITADOR4";"2025-10-20 16:40:30.735041";"2025-10-20 17:07:22.09211";"00:26:51.357069";26.85595115;0.3678897417808219;"0";"0";"0";"0";"0";"0";"0";"53";"20";"0"
"ESCANER";"292";"DIGITADOR3";"2025-10-21 10:31:57.014271";"2025-10-21 10:31:57.014271";"00:00:00";0;0;"0";"292";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"175";"DIGITADOR1";"2025-10-21 10:31:57.014271";"2025-10-21 10:31:57.014271";"00:00:00";0;0;"0";"175";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"34";"MPANUERA";"2025-10-21 10:31:57.014271";"2025-10-21 10:31:57.014271";"00:00:00";0;0;"0";"34";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"8";"INGDIGITADOR1";"2025-10-22 09:23:03.199613";"2025-10-22 10:30:26.015614";"01:07:22.816001";67.38026668333333;8.422533335416666;"3";"5";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"1";"DIGITADOR3";"2025-10-22 10:07:15.472079";"2025-10-22 10:07:15.472079";"00:00:00";0;0;"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"336";"DIGITADOR1";"2025-10-22 11:13:08.450931";"2025-10-22 12:19:20.335621";"01:06:11.88469";66.19807816666666;0.197018089781746;"0";"0";"258";"78";"0";"0";"0";"0";"0";"0"
"ESCANER";"1";"DIGITADOR6";"2025-10-22 11:23:40.371714";"2025-10-22 11:23:40.371714";"00:00:00";0;0;"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"11";"DIGITADOR5";"2025-10-22 14:34:25.287765";"2025-10-22 15:57:59.341077";"01:23:34.053312";83.5675552;7.597050472727273;"0";"0";"0";"0";"0";"4";"7";"0";"0";"0"
"ESCANER";"36";"DIGITADOR5";"2025-10-23 09:35:11.958614";"2025-10-23 10:07:30.760527";"00:32:18.801913";32.31336521666667;0.8975934782407408;"32";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"2";"INGDIGITADOR1";"2025-10-23 09:57:55.140096";"2025-10-23 10:00:46.445534";"00:02:51.305438";2.8550906333333335;1.4275453166666667;"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"1";"DIGITADOR2";"2025-10-23 10:41:10.174991";"2025-10-23 10:41:10.174991";"00:00:00";0;0;"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"2";"INGDIGITADOR1";"2025-10-24 10:09:58.274458";"2025-10-24 11:47:28.672646";"01:37:30.398188";97.50663646666666;48.75331823333333;"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"5";"DIGITADOR1";"2025-10-24 12:16:22.816054";"2025-10-24 14:25:38.831986";"02:09:16.015932";129.2669322;25.85338644;"0";"0";"0";"1";"0";"4";"0";"0";"0";"0"
"ESCANER";"25";"DIGITADOR4";"2025-10-25 09:18:18.736402";"2025-10-25 11:36:47.915729";"02:18:29.179327";138.48632211666666;5.539452884666666;"6";"12";"7";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"1";"DIGITADOR4";"2025-10-27 09:47:46.251414";"2025-10-27 09:47:46.251414";"00:00:00";0;0;"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ESCANER";"32";"DIGITADOR1";"2025-10-27 09:50:04.036228";"2025-10-27 14:47:25.920049";"04:57:21.883821";297.36473035;9.2926478234375;"1";"5";"22";"3";"0";"1";"0";"0";"0";"0"
"ESCANER";"10";"DIGITADOR6";"2025-10-27 16:42:00.616597";"2025-10-27 18:01:20.740478";"01:19:20.123881";79.33539801666667;7.933539801666667;"0";"0";"0";"0";"0";"0";"0";"3";"6";"1"
